FECHA;DIA;TMax;HTMax;TMin;HTMin;TMed;HumMax;HumMin;HumMed;VelViento;DirViento;Rad;Precip;ETo
2015-12-30;365;19.2;12:02;8.6;4:06;13.9;98.8;49.3;71.4;0.6;337.2;9.9;0.0;1.04
2015-12-29;363;18.8;12:38;10.4;4:32;14.2;100.0;64.7;81.2;1.0;292.7;8.5;0.0;1.07
2015-12-29;364;18.8;12:14;11.0;22:22;14.4;89.3;55.6;70.2;1.2;328.2;10.0;0.0;1.32
2015-12-28;362;18.9;10:00;11.6;23:48;15.8;89.0;47.4;66.1;1.2;280.8;9.3;0.0;1.38
2015-12-27;361;19.6;13:48;12.5;6:30;15.8;72.9;48.3;61.1;2.0;35.8;9.4;0.0;1.98
2015-12-26;360;20.2;13:04;12.1;8:00;15.0;81.1;47.2;70.2;1.2;46.9;9.8;0.0;1.53
2015-12-25;359;19.8;12:00;11.1;3:40;14.7;82.5;50.0;68.6;1.4;355.1;9.4;0.0;1.56
2015-12-24;358;18.5;12:04;11.2;7:10;13.8;83.8;57.3;72.7;1.2;15.8;8.1;0.0;1.3
2015-12-23;357;19.1;12:06;10.3;6:58;14.1;83.9;57.6;75.3;1.3;13.6;8.4;0.0;1.35
2015-12-22;356;20.2;14:04;11.4;6:48;14.7;83.5;52.9;73.2;1.1;42.9;9.7;0.0;1.38
2015-12-21;355;19.2;12:16;10.0;3:48;13.9;86.0;58.0;72.4;0.9;15.3;9.0;0.0;1.16
2015-12-20;354;17.0;12:50;5.5;7:02;11.1;100.0;62.7;81.9;0.4;262.1;9.9;0.0;0.8
2015-12-19;353;19.7;11:24;6.3;23:54;12.0;100.0;56.0;81.3;0.4;246.7;10.2;0.0;0.89
2015-12-18;352;18.5;10:52;6.9;4:58;12.9;100.0;51.1;81.1;0.3;234.2;7.8;0.0;0.79
2015-12-17;351;21.1;13:58;9.2;23:58;16.1;78.6;35.1;55.4;0.8;319.2;9.4;0.0;1.32
2015-12-16;350;22.9;14:00;9.5;5:52;16.0;87.3;29.0;52.8;0.6;314.8;9.4;0.0;1.24
2015-12-15;349;19.5;12:34;8.2;7:20;13.6;100.0;47.8;75.5;0.5;284.3;9.7;0.0;0.97
2015-12-14;348;17.9;13:56;9.8;22:30;13.5;100.0;61.1;79.8;0.6;328.2;6.1;0.0;0.88
2015-12-13;347;18.3;11:50;10.3;23:18;14.0;91.7;55.9;74.6;1.1;314.9;8.9;0.0;1.21
2015-12-12;346;20.2;12:02;11.1;23:10;15.9;87.4;46.2;64.1;1.2;12.0;8.0;0.0;1.46
